feature,importance_gain,importance_split
tax_lien_amount_억,2142428.5696439077,590
lawsuit_count_12m,375777.938297526,269
payroll_amount_pct,157682.5539300798,690
tax_arrears_months,74401.25088864565,182
supplier_hhi,57746.924423822726,1003
social_insurance_dropout_flag,50287.64038648829,324
lawsuit_amount_억,32800.97038457915,412
audit_opinion_qualified_flag,17363.763216361403,146
industry_cd,16090.297413825989,298
news_sentiment_score,10475.434515365865,404
trade_balance_change_pct,9208.600021917606,415
director_resignation_count_12m,6870.45252558589,104
ceo_change_count_12m,5287.62424245663,116
fx_rate_usdkrw,5003.289511531591,149
embezzlement_allegation_flag,3568.7273427546024,85
import_dependency_ratio,2819.2200898220763,182
card_sales_growth_pct,2673.060042308178,279
base_rate_pct,1831.8637131899595,40
interest_coverage_ratio,1674.4920645393431,113
industry_stress_score,1533.5546414018609,136
current_ratio,1196.6046012043953,104
ksic_version_flag,1061.9827480316162,26
dscr_ratio,1058.9537021964788,126
ebitda_margin_pct,1035.8944266836625,140
electricity_usage_idx,899.8532899115235,137
limit_utilization_ratio,899.4869550932199,132
inflow_outflow_ratio_1m,836.6954437363893,153
deposit_slope_6m,794.4537865668535,142
export_concentration_idx,793.2528319025878,139
sales_growth_pct,779.5150154810399,136
lease_change_flag,772.8574864622205,58
current_ratio_pct_rank,768.1020346283913,116
ltv_ratio,760.0877238516696,163
deposit_std_12m,747.1214380785823,120
macro_factor,746.1806838363409,68
export_count_idx,743.1086676934501,148
health_score_std_6m,722.993245347403,124
ebitda_margin_pct_rank,680.760232365923,113
top_customer_revenue_ratio,677.9361329632811,119
sales_growth_slope_4q,673.7993091919925,115
ltv_slope_6m,673.6123153939843,115
inflow_amt_3m_change_pct,672.5705104740337,125
dte_pct_rank,657.2226339504123,124
sales_growth_pct_rank,642.4735504771816,122
dscr_slope_4q,640.7614282630384,122
debt_to_equity_ratio,624.9794020652771,93
incorporation_years,585.5732095100684,99
sales_receipt_concentration_top1,583.6161305718124,104
inflow_cv_12m,556.4295141238545,101
ownership_concentration_pct,548.8868355304003,111
icr_pct_rank,525.4632313693874,95
guarantee_remaining_months,500.2817731271498,87
dscr_pct_rank,478.7362706027925,85
cash_inflow_range_12m,439.0262289829552,83
contagion_exposure_flag,422.3881335258484,28
avg_deposit_balance_3m_억,374.8937811527867,77
business_address_change_flag,284.5052969157696,34
extension_request_count_12m,202.13826954364777,35
rating_change_notches_12m,153.49919909238815,23
interest_only_months,149.7210609447211,31
refinancing_count_12m,103.42698973417282,17
rating_idx,100.2965966463089,17
covenant_breach_count_12m,87.40676951408386,10
dormant_account_flag,63.718371868133545,5
adverse_court_ruling_flag,49.930499792099,4
outward_transfer_spike_flag,35.58941030502319,5
ceo_change_flag,25.785949230194092,3
restruct_request_flag,22.575350403785706,7
listed_flag,17.71400022506714,3
major_shareholder_change_flag,11.334579944610596,2
over_limit_flag,0.0,0
firm_size_cd,0.0,0
