feature,importance_gain
lawsuit_amount_억,1042767418.966252
tax_lien_amount_억,492366114.355791
icr_pct_rank,30985170.020052098
electricity_usage_idx,25718353.223514505
trade_balance_change_pct,10935589.109585345
tax_arrears_months,3098129.940583053
lawsuit_count_12m,3028690.552090943
social_insurance_dropout_flag,1373138.162261039
audit_opinion_qualified_flag,1358176.994475171
sales_growth_pct,875738.8476598514
payroll_amount_pct,458943.2837263057
fx_rate_usdkrw,455943.7155129295
dscr_slope_4q,341024.91678367276
industry_stress_score,323267.2034042105
incorporation_years,285380.49010945857
lease_change_flag,281860.6016400764
avg_deposit_balance_3m_억,257934.42089295387
inflow_outflow_ratio_1m,218232.65491370828
ebitda_margin_pct_rank,210685.48590922356
ltv_slope_6m,199550.981510484
current_ratio_pct_rank,197868.86231340468
interest_coverage_ratio,192406.19406575523
ebitda_margin_pct,188433.07292501442
supplier_hhi,135140.88036735356
dscr_pct_rank,108290.97433444951
ltv_ratio,106097.77932680771
base_rate_pct,101741.23437309265
dte_pct_rank,73083.47316369042
ownership_concentration_pct,54144.55731507763
inflow_amt_3m_change_pct,51845.45164805665
sales_growth_pct_rank,49185.79480308294
ceo_change_count_12m,44067.987226486206
top_customer_revenue_ratio,41473.68093399261
sales_growth_slope_4q,40535.43009958137
import_dependency_ratio,29959.077443037182
news_sentiment_score,28686.36915809021
current_ratio,20717.166259020567
sales_receipt_concentration_top1,19910.781842205557
deposit_slope_6m,19631.094681084156
outward_transfer_spike_flag,19354.339714050293
cash_inflow_range_12m,17116.606382206082
dscr_ratio,16323.836978659034
export_count_idx,13337.83053791523
deposit_std_12m,8086.240508437157
card_sales_growth_pct,7738.196619361639
export_concentration_idx,6810.508334159851
guarantee_remaining_months,6759.439264893532
inflow_cv_12m,6184.591781616211
covenant_breach_count_12m,3693.144714197144
debt_to_equity_ratio,2385.4672968127998
health_score_std_6m,1938.5474095344543
macro_factor,1913.7315068244934
listed_flag,1901.7029552459717
refinancing_count_12m,1840.268966153264
limit_utilization_ratio,1728.209328976809
rating_change_notches_12m,1584.8377113342285
industry_cd,1214.3398895263672
extension_request_count_12m,718.2449951171875
interest_only_months,573.80544703349
ksic_version_flag,379.2107206583023
rating_idx,226.235107421875
contagion_exposure_flag,159.45700073242188
ceo_change_flag,142.0970001220703
dormant_account_flag,16.2406005859375
embezzlement_allegation_flag,0.0
major_shareholder_change_flag,0.0
firm_size_cd,0.0
director_resignation_count_12m,0.0
adverse_court_ruling_flag,0.0
restruct_request_flag,0.0
over_limit_flag,0.0
business_address_change_flag,0.0
