fold_id,train_start,train_end,test_start,test_end,auroc,ks,ap,default_rate,n_train,n_test
1,201701,202112,202201,202204,0.9996341990693374,0.9872991733626716,0.9984743052958776,0.20390141030710426,85080,7587
2,201705,202204,202205,202208,0.9996977380886757,0.9896814459572852,0.9987896819140033,0.21129516107995305,88645,7667
3,201709,202208,202209,202212,0.9996986925477134,0.9904433469247114,0.9988240443283822,0.2067151089952393,91887,7982
4,201801,202212,202301,202304,0.9996907095559323,0.9885566250895479,0.9987521185265256,0.20046364080039045,95258,8196
5,201805,202304,202305,202308,0.9997250648483171,0.9896548387729607,0.9988917414286491,0.20133646825887885,98613,8081
6,201809,202308,202309,202312,0.9997565336793895,0.9921246490870823,0.9989291794457787,0.1909704852426213,101602,7996
7,201901,202312,202401,202404,0.9997298764422052,0.9897560171532774,0.9987546727343004,0.18342443116817084,104409,7867
8,201905,202404,202405,202408,0.9998650802918916,0.993196222899959,0.9994107456879494,0.19116122343182995,106718,7716
9,201909,202408,202409,202412,0.9998450261920918,0.9936275290743986,0.999322725790343,0.18964626904208623,108598,7746
10,202001,202412,202501,202504,0.9998901896675535,0.9961049152678481,0.9994791707584576,0.17778644817271427,110328,7689
11,202005,202504,202505,202508,0.9999985324669018,0.9993500162495937,0.9999925823851349,0.1652197504069452,112003,7372
12,202009,202508,202509,202512,1.0,1.0,1.0,0.07908927501497903,113252,6676
